Count,Species
309,C57
229,C57
182,C57
228,C57
326,C57
289,C57
231,C57
225,C57
307,C57
281,C57
316,C57
290,C57
318,C57
273,C57
328,C57
325,C57
191,C57
219,C57
216,C57
221,C57
198,C57
181,C57
110,C57
256,C57
240,C57
122,C57
290,C57
253,C57
164,C57
211,C57
215,C57
211,C57
152,C57
178,C57
194,C57
144,C57
95,C57
157,C57
240,C57
146,C57
106,C57
252,C57
266,C57
284,C57
274,C57
285,C57
366,C57
360,C57
237,C57
270,C57
114,C57
176,C57
224,C57
37,AJ
90,AJ
39,AJ
104,AJ
43,AJ
62,AJ
17,AJ
19,AJ
21,AJ
9,AJ
16,AJ
65,AJ
187,AJ
17,AJ
79,AJ
77,AJ
60,AJ
8,AJ
81,AJ
39,AJ
133,AJ
102,AJ
36,AJ
19,AJ
53,AJ
59,AJ
29,AJ
47,AJ
22,AJ
140,AJ
41,AJ
122,AJ
10,AJ
41,AJ
61,AJ
19,AJ
62,AJ
86,AJ
66,AJ
64,AJ
53,AJ
79,AJ
46,AJ
89,AJ
74,AJ
44,AJ
39,AJ
59,AJ
29,AJ
13,AJ
11,AJ
23,AJ
40,AJ
140,F2
218,F2
215,F2
109,F2
151,F2
154,F2
93,F2
103,F2
90,F2
184,F2
7,F2
46,F2
9,F2
41,F2
241,F2
118,F2
15,F2
156,F2
111,F2
120,F2
163,F2
101,F2
170,F2
225,F2
177,F2
72,F2
288,F2
129,F2
